r,aez,biome,area_ratio,native_ratio,pool_px,aez_total_px,aez_native_px,biome_code,cover_area,cover_native,overalloc_area,overalloc_native
ARG,3,chaco,1.0,1.0,21293,21653,21469,4,1.0,1.0,1.0,1.0
ARG,4,chaco,0.8701,0.881,39533,53476,45377,4,0.8701,0.881,1.15,1.14
ARG,5,chaco,0.7769,0.7816,11697,16400,15438,4,0.7769,0.7816,1.29,1.28
ARG,6,chaco,0.3093,0.3112,192,805,617,4,0.3093,0.3112,3.23,3.21
ARG,7,chaco,0.0686,0.0819,42392,655887,523310,4,0.0686,0.0819,14.58,12.21
ARG,8,chaco,0.081,0.0833,36392,494418,441092,4,0.081,0.0833,12.35,12.0
ARG,9,chaco,0.3808,0.3887,94744,325185,249833,4,0.3808,0.3887,2.63,2.57
ARG,10,chaco,0.4982,0.5491,92091,268173,172539,4,0.4982,0.5491,2.01,1.82
ARG,11,chaco,0.4669,0.6631,78318,260849,121609,4,0.4669,0.6631,2.14,1.51
ARG,12,chaco,0.1784,0.2745,96781,594916,356238,4,0.1784,0.2745,5.61,3.64
BOL,3,chaco,0.8263,0.8259,37239,47290,45356,4,0.8263,0.8259,1.21,1.21
BOL,4,cerrado,0.0,0.0,0,97505,91869,2,0.6433,0.6638999999999999,1.55,1.51
BOL,4,chaco,0.5031,0.5164,47230,97505,91869,4,0.6433,0.6638999999999999,1.55,1.51
BOL,4,pantanal,0.1402,0.1475,13531,97505,91869,3,0.6433,0.6638999999999999,1.55,1.51
BOL,5,amazonia,0.1865,0.1936,41942,228376,217053,1,0.39590000000000003,0.403,2.53,2.48
BOL,5,cerrado,0.022,0.0231,5017,228376,217053,2,0.39590000000000003,0.403,2.53,2.48
BOL,5,chaco,0.1093,0.1063,22910,228376,217053,4,0.39590000000000003,0.403,2.53,2.48
BOL,5,pantanal,0.0781,0.08,17202,228376,217053,3,0.39590000000000003,0.403,2.53,2.48
BOL,6,amazonia,0.4863,0.5256,170520,380985,326150,1,0.5097,0.5463,1.96,1.83
BOL,6,cerrado,0.0022,0.0026,844,380985,326150,2,0.5097,0.5463,1.96,1.83
BOL,6,chaco,0.0212,0.0181,5763,380985,326150,4,0.5097,0.5463,1.96,1.83
BOL,9,chaco,0.001,0.0011,86,86500,80922,4,0.001,0.0011,1000.0,909.09
BOL,10,chaco,0.0149,0.0184,505,34041,27444,4,0.0149,0.0184,67.11,54.35
BOL,11,chaco,0.009,0.0101,165,18264,16401,4,0.009,0.0101,111.11,99.01
BRA,3,cerrado,0.0238,0.0312,8468,416595,277086,2,0.0238,0.0312,42.02,32.05
BRA,4,amazonia,0.0088,0.0091,7639,1321955,864200,1,0.6768,0.6851,1.48,1.46
BRA,4,cerrado,0.6451,0.6437,540386,1321955,864200,2,0.6768,0.6851,1.48,1.46
BRA,4,pantanal,0.0229,0.0323,26601,1321955,864200,3,0.6768,0.6851,1.48,1.46
BRA,5,amazonia,0.428,0.5271,655364,2482763,1276695,1,0.8607,0.9529000000000001,1.16,1.05
BRA,5,cerrado,0.3853,0.3464,419012,2482763,1276695,2,0.8607,0.9529000000000001,1.16,1.05
BRA,5,pantanal,0.0474,0.0794,98474,2482763,1276695,3,0.8607,0.9529000000000001,1.16,1.05
BRA,6,amazonia,0.8334,0.9602,2873787,3720728,3007466,1,0.8770000000000001,0.9687,1.14,1.03
BRA,6,cerrado,0.0429,0.0082,20249,3720728,3007466,2,0.8770000000000001,0.9687,1.14,1.03
BRA,6,pantanal,0.0007,0.0003,686,3720728,3007466,3,0.8770000000000001,0.9687,1.14,1.03
BRA,11,cerrado,0.1978,0.3622,1486,8105,4116,2,0.1978,0.3622,5.06,2.76
BRA,12,amazonia,0.0011,0.0024,486,461485,206081,1,0.0083,0.006500000000000001,120.48,153.85
BRA,12,cerrado,0.0072,0.0041,733,461485,206081,2,0.0083,0.006500000000000001,120.48,153.85
PRY,2,chaco,1.0,1.0,8381,10015,8492,4,1.0,1.0,1.0,1.0
PRY,3,chaco,1.0,1.0,43217,72441,44854,4,1.0,1.0,1.0,1.0
PRY,4,chaco,0.9885,0.9893,42437,55203,43619,4,1.0,1.0,1.0,1.0
PRY,4,pantanal,0.0115,0.0107,463,55203,43619,3,1.0,1.0,1.0,1.0
PRY,5,cerrado,0.0004,0.0005,29,72173,58063,2,0.9999999999999999,1.0,1.0,1.0
PRY,5,chaco,0.9791,0.9754,55995,72173,58063,4,0.9999999999999999,1.0,1.0,1.0
PRY,5,pantanal,0.0205,0.0241,1399,72173,58063,3,0.9999999999999999,1.0,1.0,1.0
PRY,6,cerrado,0.0686,0.0805,6286,119791,78921,2,0.5319,0.7527,1.88,1.33
PRY,6,chaco,0.4633,0.6722,52565,119791,78921,4,0.5319,0.7527,1.88,1.33
PRY,12,chaco,0.5741,0.7447,36161,70357,49343,4,0.5741,0.7447,1.74,1.34
