"term","coef","avg_marginal_effect","coef_orig"
"(Intercept)",-2.87749739184285,-0.0639518686102146,-2.87749739184285
"aez_10",0.301842642542455,0.00670839913584507,0.301842642542455
"aez_11",0.358473222169981,0.00796700371283842,0.358473222169981
"aez_12",-0.341162561896415,-0.00758227736190951,-0.341162561896415
"aez_3",0.132094901562487,0.00293578573268251,0.132094901562487
"aez_4",-0.00568242431261159,-0.000126290871386295,-0.00568242431261159
"aez_5",0.233991687757088,0.00520042371323924,0.233991687757088
"aez_6",-0.181148556166034,-0.00402599449636371,-0.181148556166034
"aez_7",-0.320906900171736,-0.00713209887663902,-0.320906900171736
"aez_8",-0.0370724965903019,-0.000823929654190665,-0.0370724965903019
"aez_9",0.196433960462837,0.00436570989281005,0.196433960462837
"dist_core_road_km",-0.0878345995408755,-0.00195210837903538,-0.01193661262323
"dist_major_place_km",-0.190824077030114,-0.00424103122959905,-0.00325732098612149
"dist_rail_corridor_km",-0.00424475908315884,-9.43390169310758e-05,-6.2337568943683e-05
"dist_rivers",0.04121820806665,0.000916067355647094,0.0431422048988167
"elevation",-0.660062654603178,-0.0146697752989648,-0.00244290818110449
"indigenous",-0.308198326183005,-0.00684965307625203,-0.308198326183005
"precip_mean",-0.389932574819597,-0.00866618223960754,-0.00124682390880327
"protected_area",-0.142194587689944,-0.00316024946358233,-0.142194587689944
"slope",-0.286049083597334,-0.00635739009256696,-0.22300156388578
"slx_protected_area",-0.295692873629473,-0.00657172161369647,-0.957717441974023
"slx_indigenous",-0.00771720227876315,-0.000171513450392334,-0.0442451122205368
